tra_infr,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
MWAY,KM,PL41	195 	195 	195 	195 	210 	210 	211 	211 	211 	211 	211 	211 
MWAY,KM,PL42	22 	22 	22 	22 	22 	22 	22 	25 	25 	25 	25 	25 
MWAY,KM,PL43	0 	0 	0 	0 	89 	89 	89 	89 	89 	89 	89 	89 
MWAY,KM,PL51	150 	150 	199 	199 	222 	222 	222 	222 	222 	222 	222 	222 
MWAY,KM,PL52	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 
MWAY,KM,PL61	0 	25 	23 	23 	86 	100 	144 	165 	165 	165 	165 	165 
MWAY,KM,PL62	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
MWAY,KM,PL63	0 	66 	66 	66 	66 	66 	66 	66 	66 	66 	66 	66 
MWAY,KM,PL71	75 	77 	77 	77 	77 	188 	177 	188 	188 	188 	226 	226 
MWAY,KM,PL72	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,PL81	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,PL82	0 	0 	0 	0 	0 	7 	91 	112 	112 	112 	153 	153 
MWAY,KM,PL84	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,PT20	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,PT30	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,RO11	0 	0 	41 	52 	52 	52 	52 	52 	52 	52 	52 	68 
MWAY,KM,RO12	0 	0 	0 	0 	17 	18 	55 	93 	93 	93 	93 	129 
MWAY,KM,RO21	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,RO22	1 	1 	1 	1 	1 	74 	74 	74 	74 	74 	74 	74 
MWAY,KM,RO31	229 	229 	228 	228 	229 	260 	258 	258 	258 	258 	258 	258 
MWAY,KM,RO32	51 	51 	51 	51 	51 	77 	75 	75 	75 	75 	75 	83 
MWAY,KM,RO41	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,RO42	0 	0 	0 	0 	0 	69 	130 	131 	195 	195 	211 	211 
MWAY,KM,SE11	268 b	262 	297 	296 	297 	297 	304 	308 	310 	309 	313 	313 
MWAY,KM,SE12	540 b	553 	565 	585 	582 	580 	579 	590 	589 	589 	589 	589 
MWAY,KM,SE21	194 b	190 	191 	194 	194 	194 	194 	194 	194 	194 	197 	197 
MWAY,KM,SE22	304 b	309 	307 	320 	329 	333 	342 	356 	361 	361 	365 	365 
MWAY,KM,SE23	409 b	428 	454 	467 	473 	517 	542 	543 	568 	568 	570 	570 
MWAY,KM,SE31	101 b	92 	89 	89 	62 	62 	62 	62 	61 	61 	63 	63 
MWAY,KM,SE32	15 b	16 	15 	15 	15 	15 	15 	29 	29 	29 	29 	29 
MWAY,KM,SE33	6 b	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 
MWAY,KM,SI03	: 	: 	: 	: 	: 	384 	391 	315 	315 	315 	322 	295 
MWAY,KM,SI04	: 	: 	: 	: 	: 	385 	380 	292 	295 	295 	296 	328 
MWAY,KM,SK01	110 	110 	110 	110 	114 	114 	114 	112 	110 	110 	110 	110 
MWAY,KM,SK02	148 	147 	147 	158 	158 	158 	155 	155 	155 	155 	155 	155 
MWAY,KM,SK03	69 	69 	70 	70 	69 	69 	67 	67 	83 	83 	102 	102 
MWAY,KM,SK04	46 	66 	73 	89 	89 	91 	89 	87 	116 	116 	116 	116 
MWAY,KM,TR10	211 	194 	186 	186 	186 	186 	303 	303 	303 	451 	451 	513 
MWAY,KM,TR21	185 	183 	165 	165 	165 	165 	165 	165 	165 	165 	165 	165 
MWAY,KM,TR22	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	39 	70 
MWAY,KM,TR31	174 	210 	209 	209 	213 	213 	213 	221 	225 	247 	258 	258 
MWAY,KM,TR32	88 	51 	51 	51 	51 	51 	51 	51 	51 	53 	53 	53 
MWAY,KM,TR33	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	48 	100 
MWAY,KM,TR41	65 	65 	65 	74 	74 	74 	74 	80 	80 	131 	148 	148 
MWAY,KM,TR42	281 	329 	331 	331 	331 	331 	330 	330 	330 	367 	367 	405 
MWAY,KM,TR51	207 	199 	198 	198 	198 	198 	198 	198 	198 	198 	198 	200 
MWAY,KM,TR52	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM,TR61	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM,TR62	320 	311 	311 	318 	311 	309 	307 	307 	307 	307 	307 	307 
MWAY,KM,TR63	194 	203 	195 	195 	195 	195 	194 	194 	194 	194 	194 	194 
MWAY,KM,TR71	0 	0 	70 	70 	104 	114 	115 	135 	135 	135 	135 	135 
MWAY,KM,TR72	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM,TR81	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM,TR82	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM,TR83	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM,TR90	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,TRA1	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM,TRA2	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM,TRB1	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM,TRB2	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
